PLAYER,TEAM,ACS,ADR,K/D,K,D,A,RP,KPR,ESR,HS%,FBPR,DPR,1vX,MK,FB,FD,ECON,PL,DE,UMG_Event
stellar,Luminosity Gaming,175,112.5,0.94,85,90,32,136,0.63,0.3,0.19,0.04,0.66,1,20,6,14,46.5,19,1,True
ZachaREEE,FaZe Clan,173,113.0,0.86,187,217,74,315,0.59,0.58,0.22,0.07,0.69,2,33,22,16,44.7,21,5,True
effys,NRG Esports,173,127.8,0.89,90,101,40,150,0.6,0.6,0.16,0.04,0.67,6,23,6,4,55.7,24,7,True
supamen,Dignitas,171,104.7,0.98,117,119,52,185,0.63,0.52,0.28,0.07,0.64,2,26,13,12,44.8,29,2,True
Dcop,Equinox Esports,171,102.3,0.74,50,68,41,93,0.54,0.35,0.16,0.06,0.73,1,12,6,11,42.3,10,1,True
Eazy,ex-Serenity,169,115.2,0.72,86,120,41,158,0.54,0.44,0.16,0.05,0.76,2,17,8,10,46.0,25,2,True
cute fat boy,Equinox Esports,169,105.6,0.69,51,74,28,93,0.55,0.19,0.23,0.03,0.8,0,10,3,13,39.0,1,0,True
b0i,Andbox,169,115.1,0.77,54,70,15,96,0.56,0.5,0.27,0.05,0.73,1,15,5,5,49.3,8,1,True
dawn,Pittsburgh Knights,167,115.4,0.88,52,59,11,81,0.64,0.0,0.31,0.0,0.73,2,12,0,7,47.3,2,0,True
mada,Luminosity Gaming,166,109.4,0.84,78,93,42,136,0.57,0.65,0.32,0.1,0.68,1,21,13,7,44.5,6,3,True
reltuC,TSM,164,107.4,0.88,157,178,109,288,0.55,0.29,0.18,0.03,0.62,6,37,9,22,47.6,34,8,True
shinobi,Cloud9 Blue,155,101.9,0.72,109,151,47,202,0.54,0.35,0.2,0.04,0.75,4,20,9,17,41.7,31,3,True
Rebo,Moon Raccoons,155,99.3,0.71,89,125,36,162,0.55,0.31,0.17,0.06,0.77,0,18,10,22,37.6,4,0,True
Joseph,ex-Serenity,148,87.4,0.68,82,120,37,158,0.52,0.3,0.2,0.05,0.76,1,22,8,19,33.3,3,2,True
frostyZK,Pittsburgh Knights,121,76.6,0.49,33,67,8,81,0.41,0.17,0.19,0.05,0.83,0,7,4,20,32.5,0,1,True
kaplan,Spacestation Gaming,121,79.8,0.62,69,111,48,165,0.42,0.47,0.17,0.05,0.67,5,14,8,9,32.4,24,4,True
wardino,Andbox,112,74.3,0.44,36,82,19,96,0.38,0.15,0.22,0.04,0.85,2,9,4,22,25.3,10,1,True
ronaldo,Pittsburgh Knights,112,72.8,0.47,29,62,22,81,0.36,0.36,0.25,0.05,0.77,0,5,4,7,29.8,7,3,True
